ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,default.payment.next.month
1,20000,2,2,1,24,2,2,3913,3102,0,689,1
2,120000,2,2,2,26,-1,2,2682,1725,0,1000,1
3,90000,2,2,2,34,0,0,29239,14027,1518,1500,0
4,50000,2,2,1,37,0,0,46990,48233,2000,2019,0
5,50000,1,2,1,57,-1,0,8617,5670,2000,36681,0
6,50000,1,1,2,37,0,0,64400,57069,2500,1815,0
7,5.00E+05,1,1,2,29,0,0,367965,412023,55000,40000,0
8,1.00E+05,2,2,2,23,0,-1,11876,380,380,601,0
9,140000,2,3,1,28,0,0,11285,14096,3329,0,0
10,20000,1,3,2,35,-2,-2,0,0,0,0,0
11,2.00E+05,2,3,2,34,0,0,11073,9787,2306,12,0
12,260000,2,1,2,51,-1,-1,12261,21670,21818,9966,0
13,630000,2,2,2,41,-1,0,12137,6500,1000,6500,0
14,70000,1,2,2,30,1,2,65802,67369,3200,0,1
15,250000,1,1,2,29,0,0,70887,67060,3000,3000,0
16,50000,2,3,3,23,1,2,50614,29173,0,1500,0
17,20000,1,1,2,24,0,0,15376,18010,3200,0,1
18,320000,1,1,1,49,0,0,253286,246536,10358,10000,0
19,360000,2,1,1,49,1,-2,0,0,0,0,0
20,180000,2,1,2,29,1,-2,0,0,0,0,0
21,130000,2,3,2,39,0,0,38358,27688,3000,1537,0
22,120000,2,2,1,39,-1,-1,316,316,316,316,1
23,70000,2,2,2,26,2,0,41087,42445,2007,3582,1
24,450000,2,1,1,40,-2,-2,5512,19420,19428,1473,1
25,90000,1,1,2,23,0,0,4744,7070,5757,0,0
26,50000,1,3,2,23,0,0,47620,41810,1973,1426,0
27,60000,1,1,2,27,1,-2,-109,-425,0,1000,1
28,50000,2,3,2,30,0,0,22541,16138,1300,1300,0
29,50000,2,3,1,47,-1,-1,650,3415,3415,3421,0
30,50000,1,1,2,26,0,0,15329,16575,1500,1500,0
31,230000,2,1,2,27,-1,-1,16646,17265,17270,13281,0
32,50000,1,2,2,33,2,0,30518,29618,1718,1500,1
33,1.00E+05,1,1,2,32,0,0,93036,84071,3023,3511,0
34,5.00E+05,2,2,1,54,-2,-2,10929,4152,4152,22827,0
35,5.00E+05,1,1,1,58,-2,-2,13709,5006,5006,31178,0
36,160000,1,1,2,30,-1,-1,30265,-131,131,396,0
37,280000,1,2,1,40,0,0,186503,181328,8026,8060,0
38,60000,2,2,2,22,0,0,15054,9806,1500,1518,0
39,50000,1,1,2,25,1,-1,0,780,780,0,1
40,280000,1,1,2,31,-1,-1,498,9075,9075,0,0
41,360000,1,1,2,33,0,0,218668,221296,10000,7000,0
42,70000,2,1,2,25,0,0,67521,66999,3000,4500,0
43,10000,1,2,2,22,0,0,1877,3184,1500,2927,0
44,140000,2,2,1,37,0,0,59504,61544,3000,3000,0
45,40000,2,1,2,30,0,0,18927,21295,3000,5000,0
46,210000,1,1,2,29,-2,-2,0,0,0,0,1
47,20000,2,1,2,22,0,0,14028,16484,3000,0,1
48,150000,2,5,2,46,0,0,4463,3034,1013,1170,1
49,380000,1,2,2,32,-1,-1,22401,21540,21540,15138,0
50,20000,1,1,2,24,0,0,17447,18479,1318,1315,0
51,70000,1,3,2,42,1,2,37042,36171,0,3100,1
52,1.00E+05,2,3,3,43,0,0,61559,51163,2000,1606,0
53,310000,2,2,1,49,-2,-2,13465,7867,7875,7600,0
54,180000,2,1,2,25,1,2,41402,41742,1300,2010,0
55,150000,2,1,2,29,2,0,46224,34993,1600,1718,0
56,5.00E+05,2,1,1,45,-2,-2,1905,3640,3640,162,0
57,180000,2,3,1,34,0,0,16386,15793,8500,1500,0
58,180000,2,2,1,34,0,0,175886,173440,8083,7296,0
59,2.00E+05,2,1,2,34,-1,3,1587,1098,0,0,0
60,4.00E+05,2,2,1,29,0,0,400134,398857,17000,15029,0
61,5.00E+05,2,3,1,28,0,0,22848,23638,1516,1300,1
62,70000,1,2,1,39,0,0,70800,72060,4025,2095,0
63,50000,1,1,2,29,2,2,24987,24300,0,2700,1
64,50000,2,2,1,46,0,0,28718,29166,1000,0,1
65,130000,2,2,1,51,-1,-1,99,0,0,0,0
66,2.00E+05,1,1,1,57,-2,-2,152519,148751,0,0,1
67,10000,1,2,1,56,2,2,2097,4193,2300,0,1
68,210000,2,1,2,30,2,-1,300,300,300,1159,0
69,130000,2,3,2,29,1,-2,-190,-9850,0,0,0
70,20000,1,5,2,22,2,0,18565,17204,0,1200,0
71,80000,1,1,2,31,-1,-1,780,0,0,390,0
72,320000,1,2,2,29,2,2,58267,59246,2500,2500,1
73,2.00E+05,2,2,1,32,-1,-1,9076,5787,5818,15,0
74,290000,2,1,2,37,1,-2,0,0,0,3155,0
75,340000,1,1,2,32,-1,-1,3048,5550,5713,23453,0
76,20000,1,2,2,24,0,0,14619,17216,2850,0,0
77,50000,1,3,2,25,-1,0,42838,37225,1759,1779,0
78,3.00E+05,2,1,1,45,-1,-1,291,291,291,291,0
79,30000,2,2,2,22,0,0,28387,29612,1686,1400,1
80,240000,2,2,2,44,1,-2,0,0,0,0,1
81,470000,2,3,3,33,0,0,165254,157784,6400,7566,0
82,360000,2,1,2,26,0,0,23411,27796,4796,3400,0
83,60000,1,3,2,30,0,0,26324,27471,1576,1213,1
84,4.00E+05,2,2,1,44,0,0,131595,139060,10700,3,0
85,50000,2,3,2,49,0,0,48909,47863,1676,1302,0
86,160000,1,2,2,33,0,0,130028,107808,4400,3547,0
87,360000,2,1,1,45,-1,-1,390,1170,1170,0,1
88,160000,2,2,2,32,0,0,3826,4751,1147,2000,0
89,130000,2,1,1,35,0,0,81313,117866,40000,5000,0
90,20000,1,3,2,44,2,2,8583,8303,0,1651,0
91,2.00E+05,1,1,1,53,2,2,138180,140774,6300,5500,1
92,280000,2,1,2,39,-1,-1,7524,0,0,3968,0
93,1.00E+05,2,1,2,27,-2,-2,-2000,5555,7555,0,0
94,160000,2,2,1,37,-1,-1,880,1602,1602,840,0
95,60000,2,2,2,23,0,0,45648,46850,1937,1301,0
96,90000,1,2,2,35,0,0,83725,85996,3621,3597,0
97,360000,1,1,1,43,-1,-1,3967,8322,8339,3394,0
98,150000,1,1,2,27,0,0,86009,86108,4031,10006,0
99,50000,2,3,1,22,0,0,18722,18160,1411,1194,0
100,20000,1,2,1,38,0,0,17973,19367,1699,1460,1
101,140000,1,1,2,32,-2,-2,672,10212,10212,850,0
102,380000,2,1,2,30,-2,-2,-81,-303,223,33178,0
103,480000,1,1,1,63,0,0,422069,431342,16078,55693,0
104,50000,2,3,2,22,0,0,44698,42254,1767,1362,1
105,60000,2,2,2,26,2,2,56685,55208,0,5000,0
106,70000,2,2,2,24,-1,-1,5580,0,0,0,0
107,80000,2,2,1,36,-1,-1,6108,2861,2861,3279,0
108,350000,1,1,2,52,-1,-1,713,2272,2272,722,0
109,130000,1,2,2,38,0,0,171438,178382,10908,0,0
110,360000,1,2,1,35,1,-2,-103,-103,0,0,0
111,330000,2,1,1,31,0,0,105879,108431,9260,0,0
112,50000,1,3,1,47,0,0,13244,14722,2000,1000,0
113,280000,1,2,1,41,2,2,135673,138532,6500,0,0
114,1.00E+05,2,1,2,24,0,0,52128,52692,2000,2677,0
115,50000,1,2,2,41,0,0,19015,19294,1340,1305,0
116,30000,1,1,2,24,-1,2,18199,17618,0,1312,1
117,240000,1,1,2,28,-1,-1,326,326,326,326,0
118,80000,1,2,2,26,2,0,14029,15493,2000,1700,1
119,4.00E+05,1,2,1,34,-1,-1,19660,9666,9677,11867,0
120,240000,2,2,2,38,0,0,50254,51445,2000,3000,0
121,50000,1,3,2,37,2,2,46004,45976,1000,4035,1
122,450000,1,1,1,40,1,-2,0,0,0,0,1
123,110000,2,1,1,48,1,-2,0,0,0,0,0
124,310000,2,2,1,35,2,0,304991,311243,13019,11128,1
125,20000,1,1,2,27,0,0,19115,18962,1404,1130,0
126,20000,1,2,2,23,1,-2,0,0,0,0,0
127,2.00E+05,1,3,2,52,0,0,110151,99530,3568,3585,0
128,180000,1,1,1,36,0,0,163736,116422,4655,2690,1
129,50000,1,2,1,51,0,0,3347,3899,1000,1066,1
130,60000,1,3,1,55,3,2,60521,61450,2504,7,0
131,30000,2,1,2,23,1,-2,4000,5645,5645,3508,0
132,240000,1,1,2,41,1,-1,95,2622,2622,3301,0
133,420000,1,2,1,34,0,0,253454,247743,9744,9553,0
134,330000,1,3,1,46,0,0,227389,228719,8210,8095,0
135,30000,2,2,2,22,0,0,28452,26145,2000,1400,0
136,240000,1,2,1,34,0,0,10674,12035,1500,1800,0
137,150000,1,1,2,27,0,0,17444,19342,2500,3000,0
138,210000,2,2,1,33,0,0,7166,7997,1500,1500,0
139,50000,2,3,1,51,-1,-1,752,300,300,5880,1
140,50000,1,1,2,24,0,0,50801,50143,2360,1700,0
141,240000,1,1,2,47,1,-2,0,0,0,0,1
142,180000,1,2,2,28,-1,-1,1832,0,0,416,0
143,50000,1,2,2,23,1,2,10131,10833,1000,10000,0
144,170000,1,2,2,29,-2,-2,12159,10000,10000,10000,0
145,20000,1,1,2,29,-1,-1,1199,15586,15586,344,0
146,50000,1,1,2,28,0,0,4999,5913,1000,1500,0
147,170000,2,2,2,27,0,0,19269,20313,1661,1200,1
148,2.00E+05,1,1,2,34,1,2,197236,176192,8000,5000,0
149,80000,2,2,1,23,1,2,9168,10522,1650,0,0
150,260000,2,1,1,60,1,-2,-1100,-1100,0,22500,0
151,140000,1,2,1,32,0,0,86627,78142,3455,3110,0
152,80000,1,1,2,25,0,0,42444,55744,30000,3000,0
153,350000,1,1,2,41,1,-1,208,2906,2906,1000,0
154,280000,2,2,1,56,0,0,208775,182350,8042,6700,0
155,30000,2,3,2,26,0,0,9014,10406,1700,1500,0
156,140000,1,1,1,34,0,0,23944,28049,5000,5000,0
157,2.00E+05,2,1,2,37,0,0,105420,102870,4000,3250,0
158,2.00E+05,2,3,2,30,0,0,196031,196143,7300,7108,0
159,210000,1,3,1,45,2,3,115785,122904,10478,10478,1
160,50000,1,3,1,57,3,2,12854,12362,0,1600,0
161,30000,1,1,2,41,2,2,24357,27453,3500,0,0
162,50000,1,2,2,27,2,-1,390,390,390,780,0
163,290000,1,3,1,47,-1,-1,1234,396,396,396,0
164,250000,2,1,1,34,0,0,141223,156858,17994,0,0
165,60000,2,2,1,46,0,0,21148,23803,3000,1500,0
166,110000,2,1,2,27,0,0,101640,104795,5500,3900,0
167,370000,1,1,2,50,-2,-2,6093,15130,15383,8204,0
168,1.00E+05,1,2,1,27,-1,2,102349,96847,3166,0,0
169,90000,2,2,1,35,0,0,72112,73854,3500,3500,0
170,50000,2,2,2,22,0,0,28040,29092,1510,1442,0
171,270000,1,2,2,37,0,0,37695,33397,5000,2000,0
172,3.00E+05,2,1,2,30,-1,-1,688,3280,3288,0,0
173,50000,2,2,2,22,-1,0,8567,15273,15000,1000,0
174,50000,2,1,2,24,1,-2,-709,-709,0,0,1
175,360000,1,1,2,29,1,-2,0,0,0,77,0
176,130000,1,3,1,56,1,2,64617,65978,3000,3000,1
177,80000,1,1,2,30,-2,-1,6187,100,504,500,0
178,50000,1,2,2,30,1,2,48860,47801,0,1500,0
179,20000,2,2,2,22,0,0,16001,12622,1212,1201,0
180,80000,2,2,1,29,0,0,77883,81811,5800,1000,0
181,240000,1,1,2,37,-1,-1,12212,26578,15000,0,0
182,80000,2,3,2,35,0,-1,49608,12412,12500,6500,0
183,5.00E+05,2,1,1,47,0,0,56422,110616,70010,30357,0
184,60000,2,2,1,24,0,0,58024,57891,2500,1600,1
185,20000,1,2,2,25,0,0,10642,11677,1200,1593,0
186,1.00E+05,2,2,1,38,1,2,14483,13961,0,1600,1
187,360000,2,1,2,32,1,-1,2616,57077,57087,5295,0
188,2.00E+05,2,3,2,47,2,2,199436,202947,8214,7000,1
189,130000,2,2,1,34,1,-1,0,5396,5396,5000,0
190,20000,2,2,2,31,1,5,21703,21087,0,1000,0
191,310000,1,1,2,32,0,0,59901,62147,10020,6031,0
192,60000,2,1,2,27,2,0,19625,20347,1342,1664,1
193,180000,2,1,2,29,-1,-1,11386,199,199,0,0
194,180000,2,1,2,24,-1,-1,14670,22087,37867,0,0
195,50000,1,2,1,36,0,0,47790,18114,2000,1000,0
196,50000,2,1,2,24,1,2,36166,37188,1900,1400,1
197,150000,2,2,1,34,-2,-2,0,0,0,0,0
198,20000,2,1,2,22,0,0,18553,19446,1500,1032,0
199,5.00E+05,2,1,1,34,-2,-2,412,138,138,2299,0
200,30000,2,3,2,22,1,2,29010,29256,1000,85,1
201,180000,2,1,1,38,-2,-2,750,0,0,0,0
202,140000,1,1,2,31,0,0,27123,27299,25000,0,0
203,140000,2,1,2,26,-1,0,13424,18000,10000,13001,0
204,120000,1,2,2,26,0,0,107314,110578,5000,5000,0
205,360000,2,2,1,48,0,0,226430,231878,9100,7300,0
206,20000,1,3,1,43,-1,-1,227,20351,22359,1305,0
207,1.00E+05,1,1,1,47,-1,-1,390,1473,1473,390,0
208,210000,2,2,1,41,-1,-1,3088,1586,1586,343,1
209,80000,2,2,2,24,0,0,81625,81554,3200,3000,1
210,330000,2,1,1,50,-1,-1,8872,4337,4345,2854,0
211,220000,1,1,2,24,0,0,105607,108917,5000,5050,0
212,210000,2,1,1,38,1,-2,0,0,0,250,1
213,40000,2,3,1,43,0,0,38257,38901,1700,1504,0
214,30000,1,2,2,39,0,0,28347,28108,3036,2309,0
215,470000,1,2,2,27,2,2,296573,303320,13000,11001,0
216,30000,1,3,1,42,-1,-1,390,390,390,390,0
217,240000,2,2,1,36,1,-2,-946,-946,0,0,1
218,80000,1,2,2,36,2,0,79278,78501,3100,3500,0
219,110000,2,3,0,31,0,0,89989,84229,4000,5000,0
220,310000,2,1,2,38,-1,-1,1424,4542,4542,126,0
221,360000,2,1,1,40,2,2,105167,115468,12000,0,1
222,330000,2,3,2,45,0,0,335196,334954,12388,12378,0
223,3.00E+05,2,2,2,35,0,0,291619,297268,12019,9006,0
224,320000,2,2,2,33,0,0,91653,94037,10042,18832,0
225,50000,2,3,2,37,1,3,52626,51537,0,24,1
226,170000,2,1,2,28,0,0,130370,131199,6530,4860,0
227,350000,1,3,1,44,-1,-1,3265,2686,2686,1864,0
228,20000,1,2,1,37,0,0,16455,16511,1609,3000,0
229,50000,1,2,2,23,2,0,49758,48456,2401,2254,1
230,20000,2,3,2,24,1,2,19154,18165,0,1333,0
231,50000,2,1,2,24,0,0,35084,35796,2090,2002,0
232,20000,1,2,2,23,1,2,20235,17132,0,1200,1
233,50000,1,2,1,26,0,0,102800,0,0,0,0
234,190000,1,2,2,34,2,0,129801,131383,5000,5000,1
235,60000,2,2,1,33,0,0,58203,36367,1506,1298,0
236,80000,1,1,2,35,-1,-1,7988,3977,3983,6853,0
237,150000,2,2,2,27,0,0,127402,110050,4500,1745,0
238,210000,2,1,2,31,-2,-2,1440,0,0,7422,0
239,240000,2,3,1,50,0,0,234205,231669,10116,9150,1
240,140000,2,2,3,41,0,0,19346,21708,3000,2000,1
241,60000,2,1,2,28,1,2,21501,20650,0,0,0
242,50000,1,1,2,39,0,0,47174,47974,1800,2000,0
243,50000,2,2,2,27,0,0,26655,27724,1800,1750,0
244,180000,2,1,2,32,-1,-1,3139,5853,2821,0,0
245,30000,2,1,2,40,-1,-1,142,215,355,120,0
246,20000,2,2,2,40,0,0,19816,20396,1601,2203,0
247,250000,2,2,1,75,0,-1,52874,1631,1631,1536,0
248,1.00E+05,2,2,2,27,0,0,37767,34457,1788,1799,0
249,330000,1,1,2,25,0,0,46140,45781,2504,4007,0
250,50000,1,3,1,46,0,0,35713,15392,1561,1268,0
251,50000,2,2,2,26,1,2,50867,51486,1710,136,0
252,30000,1,2,2,28,0,0,29242,29507,5006,1244,0
253,140000,2,2,2,26,0,0,101551,105246,5366,5087,1
254,160000,2,1,2,28,0,0,70243,47779,7042,2000,0
255,4.00E+05,2,2,2,29,-1,0,19532,3719,3127,1469,0
256,50000,1,2,1,25,0,0,27699,28513,1565,1393,0
257,140000,2,2,1,48,0,-1,1154,1233,1233,1075,0
258,160000,2,2,1,33,-1,-1,8015,2453,2453,9880,0
259,1.00E+05,2,3,1,43,0,0,62170,0,0,0,0
260,220000,1,1,1,48,2,0,210380,213522,10000,9020,1
261,510000,2,1,2,29,0,0,78331,99414,40010,20094,0
262,50000,1,2,2,29,0,0,49276,35100,1602,1400,0
263,160000,2,1,1,38,-1,-1,4473,4664,4664,5969,0
264,230000,2,1,2,37,-2,-2,2283,50815,51315,0,0
265,80000,2,1,2,37,-1,-1,10115,249,258,5995,0
266,150000,2,2,1,25,-1,-1,6156,0,0,0,0
267,10000,1,3,2,23,0,0,6974,7838,1134,1298,0
268,130000,2,3,2,49,0,0,89003,91362,4100,3095,1
269,40000,2,1,2,48,0,0,34871,34449,1600,1600,0
270,50000,1,2,2,27,3,2,13694,14880,1700,0,1
271,1.00E+05,1,3,2,32,0,0,70003,31545,2035,2004,0
272,120000,1,1,1,34,-1,2,1082,632,0,1350,0
273,260000,2,1,2,58,1,-2,0,0,0,0,1
274,2.00E+05,2,2,2,33,0,0,11253,12852,2000,1322,0
275,360000,2,2,2,28,-2,-2,0,0,0,0,1
276,70000,2,2,2,36,0,0,68699,69120,4483,12496,0
277,460000,1,1,1,40,2,-1,171,2715,2728,0,1
278,50000,2,1,2,26,-1,-1,1156,316,316,316,0
279,50000,1,3,1,33,0,0,50859,50462,2007,2199,0
280,250000,2,2,1,31,0,0,103109,102594,4000,4500,0
281,30000,2,1,2,27,0,0,1512,2458,1000,664,0
282,270000,1,2,1,44,0,0,127543,109189,10063,5162,0
283,180000,2,3,2,30,0,0,163935,153152,7722,6091,0
284,1.00E+05,2,1,2,28,0,0,53494,52656,4173,3000,0
285,230000,2,3,1,32,0,0,195126,88743,5000,5000,0
286,210000,2,1,1,46,-1,-1,110346,41986,41986,21874,0
287,210000,1,1,2,38,2,0,60502,62804,3276,2026,0
288,440000,2,2,1,46,0,0,180641,181557,8610,6907,0
289,1.00E+05,2,2,2,25,2,0,70896,71678,3472,2092,1
290,240000,2,2,1,46,0,0,8751,9900,1295,1000,0
291,280000,1,1,2,33,-1,-1,898,898,898,325,1
292,50000,2,2,2,22,1,-2,0,0,0,0,1
293,30000,1,2,1,43,3,2,1700,2610,1100,0,0
294,10000,1,2,2,27,0,0,7015,10227,3507,0,1
295,130000,1,1,2,29,1,-2,0,0,0,0,0
296,2.00E+05,1,1,2,31,0,0,194353,197344,9000,7465,0
297,120000,2,2,1,29,-1,-1,1686,657,657,2319,0
298,210000,2,2,1,36,0,0,143225,142996,6483,5082,0
299,280000,2,1,1,36,0,0,58983,60788,2755,3463,0
300,3.00E+05,1,1,2,34,1,-2,0,0,0,13001,1
301,1.00E+05,1,2,2,37,0,0,99209,98222,3490,2332,0
302,440000,2,1,2,36,-2,-2,0,0,0,0,0
303,50000,2,3,1,40,0,0,49941,51213,2400,1206,0
304,20000,2,1,2,25,0,0,11968,14564,2800,0,1
305,2.00E+05,2,1,2,27,-1,-1,871,665,665,960,0
306,110000,2,2,2,26,-2,-2,432,3220,3220,5904,0
307,5.00E+05,2,2,1,36,-1,-1,10483,23956,23962,0,0
308,3.00E+05,2,2,1,27,1,-1,0,5215,5215,0,0
309,30000,1,3,1,55,2,2,9720,10613,1200,1200,1
310,60000,2,1,2,27,-1,-1,20847,13801,13809,14583,0
311,4.00E+05,2,2,1,38,-1,0,3697,3600,1000,1354,0
312,180000,2,2,1,34,0,0,143301,146333,7000,5000,0
313,20000,1,1,2,40,0,0,10934,13738,3000,3100,0
314,2.00E+05,2,3,1,49,-1,2,52439,51040,0,6000,1
315,1.00E+05,1,1,2,27,0,0,55734,52557,1631,1286,0
316,60000,1,2,2,23,0,0,49507,33282,1970,2000,1
317,110000,2,2,2,36,0,0,47819,48947,2200,2500,0
318,260000,2,3,1,53,1,-1,0,165,165,526,0
319,50000,2,3,1,46,3,2,48522,50955,3754,1,0
320,180000,1,2,2,29,1,-2,-2,-2,0,0,0
321,110000,1,2,2,29,1,2,58362,56598,2500,0,1
322,340000,2,1,2,27,0,0,172180,180140,21105,5461,0
323,50000,1,2,2,24,-1,0,1399,2441,1070,1500,0
324,230000,2,2,1,28,0,0,26361,18826,1710,1100,1
325,360000,2,2,2,32,0,0,93029,94054,10000,7000,0
326,210000,1,2,2,43,1,-2,0,0,0,38013,0
327,220000,2,2,1,41,-1,2,650,650,325,0,1
328,60000,2,2,1,34,2,2,24898,27976,3800,0,1
329,340000,1,2,1,55,-2,-1,50396,44665,44665,8321,0
330,150000,1,1,1,40,2,2,99855,102586,5200,0,0
331,2.00E+05,2,2,1,37,1,-1,-179,505,1000,0,1
332,130000,2,2,2,40,0,0,9559,12394,3000,0,1
333,60000,2,1,2,28,1,2,10540,10232,0,1483,0
334,4.00E+05,2,2,1,43,1,-2,0,0,0,0,0
335,20000,1,1,2,27,0,0,20571,19089,1323,1600,0
336,190000,2,1,2,28,0,0,143464,146943,5795,7408,0
337,260000,2,1,2,30,0,0,156882,160246,10000,8000,0
338,140000,2,2,2,31,-2,-2,390,0,0,0,0
339,50000,2,2,1,31,0,0,46512,47716,1974,4406,1
